id,name
aa0e8400-e29b-41d4-a716-446655440000,Weather Station Pro
aa0e8400-e29b-41d4-a716-446655440001,Soil Moisture Monitor
aa0e8400-e29b-41d4-a716-446655440002,Temperature Sensor Array
aa0e8400-e29b-41d4-a716-446655440003,Water Level Detector
aa0e8400-e29b-41d4-a716-446655440004,Rain Gauge Digital
aa0e8400-e29b-41d4-a716-446655440005,Wind Speed Anemometer
aa0e8400-e29b-41d4-a716-446655440006,Solar Radiation Sensor
aa0e8400-e29b-41d4-a716-446655440007,Humidity Tracker
aa0e8400-e29b-41d4-a716-446655440008,Pressure Monitor
aa0e8400-e29b-41d4-a716-446655440009,Data Logger Gateway
aa0e8400-e29b-41d4-a716-44665544000a,IoT Communication Hub
aa0e8400-e29b-41d4-a716-44665544000b,Environmental Monitor Station
