id,name
990e8400-e29b-41d4-a716-446655440000,Kebun Sawit Riau
990e8400-e29b-41d4-a716-446655440001,Kebun Karet Jambi
990e8400-e29b-41d4-a716-446655440002,Kebun Kelapa Sumatra
990e8400-e29b-41d4-a716-446655440003,Kebun Sawit Kalimantan
990e8400-e29b-41d4-a716-446655440004,Kebun Coklat Sulawesi
990e8400-e29b-41d4-a716-446655440005,Kebun Kopi Jawa
990e8400-e29b-41d4-a716-446655440006,Kebun Teh Bandung
990e8400-e29b-41d4-a716-446655440007,Kebun Sawit Medan
990e8400-e29b-41d4-a716-446655440008,Kebun Kakao Makassar
990e8400-e29b-41d4-a716-446655440009,Kebun Kelapa Sawit Pekanbaru
990e8400-e29b-41d4-a716-44665544000a,Kebun Karet Palembang
990e8400-e29b-41d4-a716-44665544000b,Kebun Sawit Pontianak
